areaCode,areaName,areaType,date,cumCasesByPublishDate,cumDeaths28DaysByDeathDate,cumPeopleVaccinatedFirstDoseByPublishDate,newVirusTestsByPublishDate
K02000001,United Kingdom,overview,01/11/2021,9097311,142113,50025020,905663
K02000001,United Kingdom,overview,31/10/2021,9057629,141936,49987325,950858
K02000001,United Kingdom,overview,30/10/2021,9019962,141748,49959923,678413
K02000001,United Kingdom,overview,29/10/2021,8979236,141579,49923871,847823
K02000001,United Kingdom,overview,28/10/2021,8936155,141408,49882904,875931
K02000001,United Kingdom,overview,27/10/2021,8897149,141216,49838202,916286
K02000001,United Kingdom,overview,26/10/2021,8853227,141054,49794120,802547
K02000001,United Kingdom,overview,25/10/2021,8809774,140890,49753037,820481
K02000001,United Kingdom,overview,24/10/2021,8773674,140756,49715228,785553
K02000001,United Kingdom,overview,23/10/2021,8734934,140604,49689481,706080
K02000001,United Kingdom,overview,22/10/2021,8689949,140439,49649389,912061
K02000001,United Kingdom,overview,21/10/2021,8641221,140303,49603139,1011431
K02000001,United Kingdom,overview,20/10/2021,8589737,140146,49554407,1103117
K02000001,United Kingdom,overview,19/10/2021,8541192,139992,49505327,877223
K02000001,United Kingdom,overview,18/10/2021,8497868,139864,49462425,911550
K02000001,United Kingdom,overview,17/10/2021,8449165,139737,49422753,980528
K02000001,United Kingdom,overview,16/10/2021,8404469,139608,49404916,729043
K02000001,United Kingdom,overview,15/10/2021,8361651,139475,49375917,909449
K02000001,United Kingdom,overview,14/10/2021,8317439,139336,49335154,980883
K02000001,United Kingdom,overview,13/10/2021,8272883,139187,49291665,1045158
K02000001,United Kingdom,overview,12/10/2021,8231437,139066,49252939,873498
K02000001,United Kingdom,overview,11/10/2021,8193769,138951,49216092,936288
K02000001,United Kingdom,overview,10/10/2021,8154306,138826,49186920,968269
K02000001,United Kingdom,overview,09/10/2021,8120713,138730,49164814,709073
K02000001,United Kingdom,overview,08/10/2021,8087005,138613,49133419,917769
K02000001,United Kingdom,overview,07/10/2021,8046390,138493,49101734,962225
K02000001,United Kingdom,overview,06/10/2021,8006660,138370,49068705,1072740
K02000001,United Kingdom,overview,05/10/2021,7967985,138267,49035877,856416
K02000001,United Kingdom,overview,04/10/2021,7934936,138147,48994530,940981
K02000001,United Kingdom,overview,03/10/2021,7900680,138044,48956859,1022070
K02000001,United Kingdom,overview,02/10/2021,7871014,137947,48932736,735038
K02000001,United Kingdom,overview,01/10/2021,7841625,137837,48901670,879317
K02000001,United Kingdom,overview,30/09/2021,7807036,137708,48863490,1040967
K02000001,United Kingdom,overview,29/09/2021,7771294,137595,48829118,1115605
K02000001,United Kingdom,overview,28/09/2021,7736235,137470,48797579,861209
K02000001,United Kingdom,overview,27/09/2021,7701715,137362,48765726,1010007
K02000001,United Kingdom,overview,26/09/2021,7664230,137246,48740807,1126440
K02000001,United Kingdom,overview,25/09/2021,7632353,137149,48724823,786367
K02000001,United Kingdom,overview,24/09/2021,7601487,137024,48700527,905141
K02000001,United Kingdom,overview,23/09/2021,7565867,136899,48672910,1063394
K02000001,United Kingdom,overview,22/09/2021,7530103,136760,48647827,969173
K02000001,United Kingdom,overview,21/09/2021,7496543,136609,48625148,895328
K02000001,United Kingdom,overview,20/09/2021,7465448,136488,48604764,984065
K02000001,United Kingdom,overview,19/09/2021,7429746,136350,48584614,1123798
K02000001,United Kingdom,overview,18/09/2021,7400739,136225,48570774,713308
K02000001,United Kingdom,overview,17/09/2021,7371301,136101,48544576,928670
K02000001,United Kingdom,overview,16/09/2021,7339009,135925,48523798,1059522
K02000001,United Kingdom,overview,15/09/2021,7312683,135774,48500747,1084585
K02000001,United Kingdom,overview,14/09/2021,7282810,135629,48476345,882827
K02000001,United Kingdom,overview,13/09/2021,7256559,135475,48458700,1043118
K02000001,United Kingdom,overview,12/09/2021,7226276,135365,48439272,1079196
K02000001,United Kingdom,overview,11/09/2021,7197662,135222,48424317,746405
K02000001,United Kingdom,overview,10/09/2021,7168806,135084,48396404,1066296
K02000001,United Kingdom,overview,09/09/2021,7132072,134938,48370340,1241334
K02000001,United Kingdom,overview,08/09/2021,7094592,134771,48344566,1254874
K02000001,United Kingdom,overview,07/09/2021,7056106,134630,48319435,1169945
K02000001,United Kingdom,overview,06/09/2021,7018927,134475,48292811,1346631
K02000001,United Kingdom,overview,05/09/2021,6978126,134337,48270113,1038794
K02000001,United Kingdom,overview,04/09/2021,6941611,134180,48248318,757917
K02000001,United Kingdom,overview,03/09/2021,6904969,134045,48207264,1190266
K02000001,United Kingdom,overview,02/09/2021,6862904,133897,48171998,1155929
K02000001,United Kingdom,overview,01/09/2021,6825074,133768,48131996,1027203
K02000001,United Kingdom,overview,31/08/2021,6789581,133650,48087908,921219
K02000001,United Kingdom,overview,30/08/2021,6757650,133533,48048009,672479
K02000001,United Kingdom,overview,29/08/2021,6731423,133426,48028366,707374
K02000001,United Kingdom,overview,28/08/2021,6698486,133297,48003976,720342
K02000001,United Kingdom,overview,27/08/2021,6666399,133171,47960705,889605
K02000001,United Kingdom,overview,26/08/2021,6628709,133043,47915768,948488
K02000001,United Kingdom,overview,25/08/2021,6590747,132927,47860628,923845
K02000001,United Kingdom,overview,24/08/2021,6555200,132824,47792552,748739
K02000001,United Kingdom,overview,23/08/2021,6524581,132710,47737142,741817
K02000001,United Kingdom,overview,22/08/2021,6492906,132594,47690741,679665
K02000001,United Kingdom,overview,21/08/2021,6460930,132475,47650396,647034
K02000001,United Kingdom,overview,20/08/2021,6429147,132369,47577390,763706
K02000001,United Kingdom,overview,19/08/2021,6392160,132251,47516505,822777
K02000001,United Kingdom,overview,18/08/2021,6355887,132142,47460526,808235
K02000001,United Kingdom,overview,17/08/2021,6322241,132040,47413242,728313
K02000001,United Kingdom,overview,16/08/2021,6295613,131930,47369418,699466
K02000001,United Kingdom,overview,15/08/2021,6267437,131847,47333702,674479
K02000001,United Kingdom,overview,14/08/2021,6241011,131760,47302445,655809
K02000001,United Kingdom,overview,13/08/2021,6211868,131664,47255842,824414
K02000001,United Kingdom,overview,12/08/2021,6179506,131557,47215352,813378
K02000001,United Kingdom,overview,11/08/2021,6146800,131450,47170968,842591
K02000001,United Kingdom,overview,10/08/2021,6117540,131362,47129400,748898
K02000001,United Kingdom,overview,09/08/2021,6094243,131281,47091889,725764
K02000001,United Kingdom,overview,08/08/2021,6069362,131200,47059639,689374
K02000001,United Kingdom,overview,07/08/2021,6042252,131120,47036796,661538
K02000001,United Kingdom,overview,06/08/2021,6014023,131025,46998806,792407
K02000001,United Kingdom,overview,05/08/2021,5982581,130931,46961830,825501
K02000001,United Kingdom,overview,04/08/2021,5952756,130828,46926330,845680
K02000001,United Kingdom,overview,03/08/2021,5923820,130748,46892996,720252
K02000001,United Kingdom,overview,02/08/2021,5902354,130674,46863706,724299
K02000001,United Kingdom,overview,01/08/2021,5880667,130593,46837614,670913
K02000001,United Kingdom,overview,31/07/2021,5856528,130498,46816382,676527
K02000001,United Kingdom,overview,30/07/2021,5830774,130408,46777556,838747
K02000001,United Kingdom,overview,29/07/2021,5801561,130302,46740832,863554
K02000001,United Kingdom,overview,28/07/2021,5770928,130221,46698479,911012
K02000001,United Kingdom,overview,27/07/2021,5745526,130133,46654632,797775
K02000001,United Kingdom,overview,26/07/2021,5722298,130061,46619230,810459
K02000001,United Kingdom,overview,25/07/2021,5697912,129985,46589211,791044
K02000001,United Kingdom,overview,24/07/2021,5669260,129913,46564660,757350
K02000001,United Kingdom,overview,23/07/2021,5637975,129839,46520855,909423
K02000001,United Kingdom,overview,22/07/2021,5602321,129755,46477881,1013261
K02000001,United Kingdom,overview,21/07/2021,5563006,129678,46433845,1038954
K02000001,United Kingdom,overview,20/07/2021,5519602,129623,46388744,885453
K02000001,United Kingdom,overview,19/07/2021,5473477,129565,46349709,1074493
K02000001,United Kingdom,overview,18/07/2021,5433939,129483,46314039,1041099
K02000001,United Kingdom,overview,17/07/2021,5386340,129414,46295853,784222
K02000001,United Kingdom,overview,16/07/2021,5332371,129362,46228636,975603
K02000001,United Kingdom,overview,15/07/2021,5281098,129310,46159145,1177716
K02000001,United Kingdom,overview,14/07/2021,5233207,129258,46097464,1210002
K02000001,United Kingdom,overview,13/07/2021,5191459,129215,46037090,932222
K02000001,United Kingdom,overview,12/07/2021,5155243,129165,45978017,1075460
K02000001,United Kingdom,overview,11/07/2021,5121245,129124,45923721,1124783
K02000001,United Kingdom,overview,10/07/2021,5089893,129090,45881721,742910
K02000001,United Kingdom,overview,09/07/2021,5058093,129048,45787958,901977
K02000001,United Kingdom,overview,08/07/2021,5022893,129000,45697875,1114234
K02000001,United Kingdom,overview,07/07/2021,4990916,128958,45601445,1237992
K02000001,United Kingdom,overview,06/07/2021,4958868,128929,45514492,968588
K02000001,United Kingdom,overview,05/07/2021,4930534,128897,45428681,1160738
K02000001,United Kingdom,overview,04/07/2021,4903434,128868,45351719,1276593
K02000001,United Kingdom,overview,03/07/2021,4879616,128839,45274497,659338
K02000001,United Kingdom,overview,02/07/2021,4855169,128810,45137108,876646
K02000001,United Kingdom,overview,01/07/2021,4828463,128782,45013503,1121678
K02000001,United Kingdom,overview,30/06/2021,4800907,128757,44860978,1251696
K02000001,United Kingdom,overview,29/06/2021,4775301,128735,44719762,881805
K02000001,United Kingdom,overview,28/06/2021,4755078,128711,44581771,1095973
K02000001,United Kingdom,overview,27/06/2021,4732434,128698,44454511,1216682
K02000001,United Kingdom,overview,26/06/2021,4717811,128676,44314799,622246
